Age,Gender,Course,Scholarship holder,Debtor,Total_Evaluations,Average_Grade,Predicted_Dropout_Risk,Target,Marital status,Application mode,Application order,Daytime/evening attendance,Previous qualification,Displaced,Educational special needs,Tuition fees up to date,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Evaluations_1st_Sem,Curricular units 1st sem (approved),Grade_1st_Sem,Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Evaluations_2nd_Sem,Curricular units 2nd sem (approved),Grade_2nd_Sem,Curricular units 2nd sem (without evaluations),Unemployment rate,Engagement_Level,dropout_flag,high_risk_flag
20,0,8,0,0,8,14,0,Graduate,1,1,1,1,1,1,0,1,0,0,5,8,4,13,1,0,5,8,4,12,2,10.8,Active,0,0
18,0,16,0,0,9,12,0,Enrolled,1,1,1,1,1,1,0,1,0,0,7,7,6,12,0,0,7,8,6,14,0,16.2,Active,0,0
21,0,2,1,0,8,13,0,Graduate,1,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,Active,0,0
20,0,13,0,0,0,0,0,Enrolled,1,9,4,1,1,1,0,1,0,0,7,14,7,11,0,0,8,9,8,11,0,12.7,Inactive,0,0
18,0,12,0,0,9,11,0,Graduate,1,1,4,1,1,1,0,1,0,0,8,12,7,13,0,0,8,12,7,13,0,12.7,Active,0,0
19,0,14,1,0,12,13,0,Graduate,1,1,4,1,1,1,0,1,0,0,6,8,6,13,0,0,6,7,6,12,0,11.1,Active,0,0
19,0,12,0,0,7,13,0,Graduate,1,1,1,1,1,0,0,1,0,0,7,8,6,13,0,0,8,9,7,14,0,11.1,Active,0,0
18,0,10,1,1,9,14,0,Enrolled,1,1,1,1,1,1,0,1,0,0,6,8,5,12,0,0,6,12,4,11,0,7.6,Active,0,0
21,0,10,0,0,12,11,0,Graduate,1,8,2,1,1,1,0,1,0,0,6,9,6,11,0,0,6,9,6,13,0,16.2,Active,0,0
18,0,6,0,0,9,12,0,Enrolled,1,1,1,1,1,1,0,1,0,0,5,9,5,13,2,0,5,7,4,13,0,9.4,Active,0,0
20,0,9,0,0,9,13,0,Graduate,1,1,1,1,1,1,0,1,0,0,5,6,5,12,0,0,5,6,5,12,0,16.2,Active,0,0
19,1,12,0,0,6,12,0,Enrolled,1,8,2,1,1,1,0,1,0,0,7,9,6,13,0,0,7,7,6,14,0,16.2,Active,0,0
21,1,4,0,0,7,13,0,Enrolled,1,15,1,1,14,0,0,1,0,0,6,15,5,12,0,0,6,17,5,11,0,16.2,Active,0,0
20,1,5,0,0,17,11,0,Graduate,1,16,1,1,1,1,0,1,0,2,6,7,6,13,0,0,6,9,4,13,0,8.9,Active,0,0
18,1,9,0,0,9,13,0,Enrolled,1,1,1,1,1,0,0,0,0,0,5,9,3,11,0,0,5,8,2,14,0,8.9,Active,0,0
19,0,3,0,0,8,12,0,Graduate,1,9,1,0,1,1,0,1,0,0,6,6,6,13,0,0,6,8,6,14,0,12.4,Active,0,0
34,1,17,0,0,8,14,0,Graduate,1,1,1,0,1,0,0,1,0,0,5,6,5,12,0,0,5,9,5,13,0,13.9,Active,0,0
37,1,1,0,1,9,13,0,Dropout,1,12,1,1,1,0,0,0,0,0,7,7,0,0,0,0,7,7,1,10,0,8.9,Active,0,0
43,1,7,0,0,7,5,0,Dropout,1,12,1,1,8,1,0,1,0,0,5,0,0,0,0,0,5,0,0,0,0,7.6,Active,0,0
55,0,9,0,0,0,0,0,Dropout,1,14,1,1,1,0,0,1,0,0,5,10,1,10,0,0,5,8,2,12,2,16.2,Inactive,0,0
39,0,17,0,0,8,11,0,Graduate,4,12,1,0,1,1,0,1,0,0,5,8,5,11,0,0,5,5,5,12,0,7.6,Active,0,0
20,0,8,0,1,5,11,0,Dropout,1,15,1,1,14,0,0,0,1,2,6,13,3,12,0,1,6,11,3,12,0,12.4,Active,0,0
18,0,15,0,1,11,12,0,Dropout,1,1,5,1,1,0,0,1,0,0,6,6,4,13,0,0,5,5,0,0,0,12.7,Active,0,0
22,0,9,0,0,5,6,0,Graduate,1,1,2,1,1,1,0,1,0,0,5,5,5,15,0,0,5,5,5,16,0,8.9,Active,0,0
22,0,12,0,0,5,15,0,Graduate,1,1,6,1,1,1,1,1,0,0,7,9,5,14,0,0,8,9,7,14,0,11.1,Active,0,0
20,0,15,0,0,9,14,0,Dropout,1,8,1,1,1,0,0,0,0,0,6,7,4,13,0,0,6,7,5,14,0,12.4,Active,0,0
29,0,17,0,0,7,13,0,Dropout,1,12,1,0,1,0,0,1,0,0,5,0,0,0,0,0,5,0,0,0,0,16.2,Active,0,0
24,0,17,0,0,0,0,0,Enrolled,1,8,1,0,1,0,0,1,0,0,5,9,2,12,0,0,5,11,3,14,1,7.6,Inactive,0,0
18,0,10,0,0,11,13,0,Graduate,1,8,2,1,1,1,0,1,0,0,6,6,6,12,0,0,6,8,5,13,0,11.1,Active,0,0
22,0,12,1,0,8,12,0,Graduate,1,8,6,1,1,1,0,1,0,0,7,8,6,14,0,0,8,9,7,14,0,11.1,Active,0,0
21,0,3,1,0,9,14,0,Graduate,1,15,1,0,14,0,0,1,0,3,6,6,6,12,0,2,6,7,6,13,0,12.4,Active,0,0
19,0,10,1,0,7,12,0,Graduate,1,1,1,1,1,0,0,1,0,0,6,7,5,12,0,0,6,7,6,13,0,12.7,Active,0,0
24,0,11,1,0,7,13,0,Graduate,1,12,1,1,1,0,0,1,0,0,6,6,6,14,0,0,6,6,6,14,0,12.4,Active,0,0
19,0,12,1,0,6,14,0,Enrolled,1,1,1,1,1,1,0,1,0,0,8,10,6,12,0,0,8,10,6,12,0,9.4,Active,0,0
20,0,15,1,0,10,12,0,Enrolled,1,1,1,1,1,1,0,1,0,0,6,11,4,14,0,0,6,12,3,11,0,9.4,Active,0,0
19,0,8,0,0,12,13,0,Graduate,1,1,3,1,1,0,0,1,0,0,5,7,5,15,0,0,5,5,5,16,0,7.6,Active,0,0
27,0,17,0,0,5,15,0,Dropout,1,12,1,0,1,0,0,1,0,0,5,12,5,11,0,0,5,10,5,11,0,9.4,Active,0,0
18,0,12,0,0,10,11,0,Graduate,1,1,1,1,1,1,0,1,0,0,7,9,7,13,0,0,8,10,8,14,0,15.5,Active,0,0
39,0,11,0,0,10,13,0,Dropout,2,4,1,1,3,0,0,1,0,0,6,10,0,0,0,0,6,6,0,0,0,12.4,Active,0,0
27,0,8,0,0,6,0,0,Dropout,1,12,1,1,15,1,0,1,0,0,6,9,5,13,0,5,11,13,10,13,0,12.4,Active,0,0
18,0,12,0,0,13,13,0,Graduate,1,8,1,1,1,1,0,1,0,0,8,8,8,15,0,0,8,8,8,15,0,9.4,Active,0,0
18,0,2,0,0,8,15,0,Enrolled,1,1,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,Active,0,0
18,0,12,0,0,0,0,0,Graduate,1,1,2,1,1,0,0,1,0,0,7,8,6,13,0,0,8,12,7,12,0,16.2,Inactive,0,0
21,0,10,1,0,12,13,0,Graduate,1,15,1,1,14,0,0,1,0,3,6,7,6,12,0,2,6,7,6,12,0,13.9,Active,0,0
19,1,2,1,0,7,12,0,Enrolled,1,8,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,Active,0,0
19,1,5,0,0,0,0,0,Enrolled,1,8,1,1,1,1,0,1,0,0,6,6,5,11,0,0,6,8,1,10,0,10.8,Inactive,0,0
24,1,5,0,0,8,11,0,Enrolled,1,14,1,1,1,0,0,1,0,0,6,6,0,0,0,0,6,6,0,0,0,12.7,Active,0,0
29,1,12,0,0,6,0,0,Dropout,4,13,1,1,12,1,0,1,0,2,7,10,5,12,0,1,8,10,5,11,0,13.9,Active,0,0
19,1,2,1,0,10,11,0,Graduate,1,1,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,Active,0,0
23,1,4,0,0,0,0,0,Graduate,1,15,1,1,14,1,0,1,0,0,6,8,6,13,0,0,6,7,6,12,0,8.9,Inactive,0,0
19,1,9,0,1,7,13,0,Dropout,1,1,3,1,1,0,0,1,0,0,5,8,5,11,0,0,5,10,4,11,3,16.2,Active,0,0
26,1,11,0,0,10,11,0,Enrolled,1,12,1,1,1,0,0,1,0,0,6,7,6,12,0,0,6,8,5,11,0,12.7,Active,0,0
18,1,9,0,0,8,11,0,Enrolled,1,8,1,1,1,0,0,1,0,0,5,9,0,0,0,0,5,5,0,0,0,7.6,Active,0,0
24,1,12,0,0,5,0,0,Graduate,1,8,1,1,1,0,0,1,0,0,7,8,7,12,0,0,8,8,8,14,0,13.9,Active,0,0
19,1,2,0,0,8,13,0,Dropout,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,Active,0,0
18,1,11,0,0,0,0,0,Dropout,1,8,4,1,1,1,0,1,0,0,6,12,3,12,0,0,6,12,1,12,0,12.4,Inactive,0,0
18,1,15,0,0,12,12,0,Graduate,1,1,2,1,1,1,0,1,0,0,6,8,6,12,0,0,6,11,3,12,0,10.8,Active,0,0
18,1,9,0,1,11,12,0,Dropout,1,8,3,1,1,1,0,1,0,0,5,8,3,10,0,0,5,11,3,11,0,10.8,Active,0,0
21,1,11,1,0,11,11,0,Dropout,1,9,4,1,1,1,0,1,0,0,6,8,4,11,0,0,6,11,1,11,0,9.4,Active,0,0
19,1,15,1,1,11,11,0,Graduate,1,8,4,1,1,1,0,1,0,0,6,6,6,14,0,0,6,6,6,13,0,8.9,Active,0,0
22,1,12,1,0,6,14,0,Graduate,1,8,4,1,1,0,0,1,0,0,7,7,7,15,0,0,8,9,8,15,0,16.2,Active,0,0
33,1,3,0,0,9,15,0,Graduate,2,12,1,0,1,0,0,1,0,0,6,8,6,12,0,0,6,6,6,12,0,10.8,Active,0,0
20,1,16,0,0,6,12,0,Dropout,1,1,6,1,1,1,0,1,0,0,6,8,5,12,0,0,6,7,5,12,0,10.8,Active,0,0
35,1,17,0,0,7,12,0,Dropout,1,12,1,0,2,1,0,1,0,0,1,1,0,0,1,0,5,0,0,0,0,10.8,Active,0,0
24,1,4,0,1,1,0,0,Dropout,1,12,1,1,4,0,0,1,0,6,12,17,6,12,0,7,12,14,10,13,0,12.4,Inactive,0,0
18,1,11,0,0,14,13,0,Enrolled,1,8,1,1,1,0,0,1,0,0,5,6,5,12,0,0,5,8,3,11,0,12.7,Active,0,0
33,0,3,0,0,8,12,0,Graduate,2,12,1,0,1,1,0,1,0,0,6,7,6,11,0,0,6,11,5,11,0,9.4,Active,0,0
22,0,12,1,0,11,11,0,Graduate,1,13,1,1,1,1,0,1,0,0,8,8,7,13,0,0,8,8,7,13,0,10.8,Active,0,0
25,0,14,1,0,8,13,0,Graduate,1,12,1,1,1,0,0,1,0,0,5,7,4,11,0,0,5,7,5,12,0,9.4,Active,0,0
20,1,5,0,0,7,11,0,Graduate,1,8,1,1,1,1,0,1,0,0,6,9,6,11,1,0,6,6,5,11,0,7.6,Active,0,0
23,1,9,0,0,7,11,0,Enrolled,1,1,6,1,1,1,0,1,0,0,5,6,4,14,0,0,5,5,5,14,0,11.1,Active,0,0
18,1,7,0,1,5,14,0,Enrolled,1,14,2,1,1,1,0,1,0,0,5,9,2,10,0,0,5,9,0,0,0,15.5,Active,0,0
24,1,12,0,0,9,5,0,Dropout,1,12,1,1,1,0,0,1,0,0,7,18,0,0,0,0,7,7,0,0,0,13.9,Active,0,0
21,0,15,0,0,7,0,0,Graduate,1,8,2,1,1,1,0,0,1,0,6,6,6,14,0,0,6,6,6,14,0,8.9,Active,0,0
26,0,8,0,0,6,14,0,Dropout,1,6,1,1,1,0,0,1,1,0,6,7,2,12,1,0,6,6,0,0,0,8.9,Active,0,0
39,0,16,0,0,7,6,0,Dropout,2,12,1,1,8,0,0,1,0,0,6,12,3,13,0,0,6,14,0,0,1,7.6,Active,0,0
44,0,3,0,0,14,6,0,Graduate,2,12,1,0,1,0,0,1,0,2,8,11,8,12,0,0,6,7,6,12,0,12.7,Active,0,0
19,1,7,0,0,7,12,0,Enrolled,1,6,1,1,1,1,0,1,1,0,5,9,5,14,0,0,5,11,3,13,0,13.9,Active,0,0
18,0,15,0,0,11,14,0,Graduate,1,1,5,1,1,1,0,1,0,0,6,6,6,14,0,0,6,6,6,13,0,8.9,Active,0,0
18,0,12,1,0,6,14,0,Graduate,1,1,5,1,1,1,0,1,0,0,7,7,7,14,0,0,8,9,8,14,0,12.4,Active,0,0
19,0,6,0,0,9,14,0,Enrolled,1,1,1,1,1,1,0,1,0,0,5,7,5,14,2,0,5,7,5,14,0,12.7,Active,0,0
19,0,12,0,1,9,14,0,Dropout,1,1,4,1,1,1,0,0,0,0,7,10,4,12,0,0,7,7,0,0,0,13.9,Active,0,0
21,0,6,0,0,7,6,0,Dropout,1,17,1,1,16,0,0,1,0,7,10,12,8,13,0,4,9,14,5,13,0,8.9,Active,0,0
20,0,2,0,0,14,13,0,Graduate,1,1,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,Active,0,0
36,0,3,0,0,0,0,0,Dropout,2,12,1,0,1,1,0,1,0,0,6,0,0,0,0,0,6,0,0,0,0,9.4,Inactive,0,0
43,0,4,0,0,0,0,0,Graduate,4,12,1,1,9,0,0,1,0,13,18,19,18,15,0,10,13,14,13,14,1,15.5,Inactive,0,0
19,0,16,0,0,14,14,0,Dropout,1,9,1,1,1,1,0,1,0,0,6,0,0,0,0,0,6,0,0,0,0,11.1,Active,0,0
20,0,5,0,1,0,0,0,Graduate,1,16,1,1,1,0,0,1,0,4,10,12,10,13,0,5,11,11,11,12,0,11.1,Inactive,0,0
19,0,10,0,0,11,13,0,Dropout,1,1,2,1,1,1,0,1,0,0,6,0,0,0,0,0,6,0,0,0,0,16.2,Active,0,0
20,0,6,0,0,0,0,0,Dropout,1,1,1,1,1,1,0,1,0,0,6,15,4,14,0,0,6,17,4,13,0,15.5,Inactive,0,0
20,0,12,0,0,17,14,0,Dropout,1,1,5,1,1,1,0,1,0,2,7,9,6,13,0,0,7,10,5,12,0,12.4,Active,0,0
20,0,16,0,0,10,13,0,Enrolled,1,8,2,1,1,1,0,1,0,0,7,12,6,12,0,0,7,10,3,13,0,16.2,Active,0,0
18,0,10,0,0,10,12,0,Graduate,1,1,1,1,1,1,0,1,0,0,6,8,6,14,0,0,6,6,6,15,0,13.9,Active,0,0
18,0,9,1,0,6,14,0,Enrolled,1,8,2,1,1,1,0,1,0,0,5,9,3,13,0,0,5,11,3,11,0,8.9,Active,0,0
19,0,6,0,0,11,12,0,Graduate,1,1,1,1,1,1,0,1,0,0,5,6,5,13,0,0,5,5,5,13,0,10.8,Active,0,0
18,0,15,0,0,5,13,0,Graduate,1,1,3,1,1,1,0,1,0,0,6,6,6,13,0,0,6,7,6,13,0,10.8,Active,0,0
18,0,12,0,0,7,13,0,Dropout,1,8,2,1,1,1,0,1,0,0,7,7,6,13,1,0,7,7,6,13,1,7.6,Active,0,0
20,0,12,0,0,8,13,0,Enrolled,1,14,1,1,1,0,0,1,0,0,7,11,6,12,0,0,7,7,7,13,0,13.9,Active,0,0
20,0,10,1,0,7,12,0,Enrolled,1,8,1,1,1,1,0,1,0,0,6,13,2,10,0,0,6,12,4,11,0,7.6,Active,0,0
20,0,9,0,0,12,10,0,Enrolled,1,8,1,1,1,0,0,1,0,0,5,11,3,10,0,0,5,10,3,11,0,12.4,Active,0,0
18,0,6,0,0,10,11,0,Graduate,1,1,2,1,1,0,0,1,0,0,5,12,5,13,2,0,5,6,5,11,0,9.4,Active,0,0
18,0,9,0,0,8,12,0,Graduate,1,1,1,1,1,0,0,1,0,0,5,5,5,13,0,0,5,5,5,14,0,11.1,Active,0,0
21,0,11,0,0,5,13,0,Dropout,1,8,1,1,1,1,0,1,0,0,6,12,3,11,0,0,6,12,2,11,0,9.4,Active,0,0
19,0,9,0,0,12,11,0,Graduate,1,1,2,1,1,1,0,1,0,0,5,8,5,11,0,0,5,9,4,11,2,16.2,Active,0,0
19,0,2,0,0,9,11,0,Dropout,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,Active,0,0
19,0,14,1,0,0,0,0,Graduate,1,1,1,1,1,0,0,1,0,0,5,5,5,13,0,0,5,5,5,14,0,9.4,Inactive,0,0
19,0,6,0,0,5,14,0,Graduate,1,1,1,1,1,1,0,1,0,0,6,15,6,14,0,0,6,13,6,12,0,15.5,Active,0,0
19,0,13,0,0,13,13,0,Dropout,1,8,6,1,1,1,0,1,0,0,7,12,5,12,0,0,7,0,0,0,0,13.9,Active,0,0
20,0,6,0,0,0,6,0,Graduate,1,15,1,1,14,1,0,1,0,1,6,7,6,14,0,1,6,17,5,14,0,12.4,Inactive,0,0
18,0,16,1,0,17,14,0,Enrolled,1,1,1,1,1,1,0,1,0,0,6,8,5,13,0,0,6,7,5,13,0,9.4,Active,0,0
18,0,10,0,0,7,13,0,Graduate,1,8,3,1,1,1,0,1,0,0,6,7,6,13,0,0,6,6,6,14,0,12.4,Active,0,0
19,0,12,0,0,6,13,0,Graduate,1,8,6,1,1,1,0,1,0,0,7,7,7,13,0,0,8,9,8,15,0,12.4,Active,0,0
18,0,12,1,0,9,14,0,Dropout,1,1,3,1,1,1,0,1,0,0,7,9,7,13,0,0,8,9,7,14,0,13.9,Active,0,0
18,0,5,0,0,9,13,0,Graduate,1,8,2,1,1,1,0,1,0,0,6,6,6,12,0,0,6,6,6,13,0,7.6,Active,0,0
19,0,9,0,0,6,13,0,Graduate,1,1,4,1,1,1,0,1,0,0,5,7,5,12,0,0,5,5,5,15,0,8.9,Active,0,0
19,0,12,0,0,5,14,0,Dropout,1,8,6,1,1,1,0,1,0,0,7,8,5,14,0,0,7,7,0,0,0,13.9,Active,0,0
20,0,10,0,0,7,7,0,Graduate,1,14,1,1,1,0,0,1,0,5,9,15,9,12,0,2,7,8,7,12,0,7.6,Active,0,0
19,0,14,1,1,8,12,0,Dropout,1,1,1,1,1,0,0,0,0,0,6,7,5,12,0,0,6,9,4,13,0,12.4,Active,0,0
20,0,14,0,0,9,12,0,Graduate,1,8,1,1,1,1,0,1,0,0,5,7,4,12,0,0,5,5,4,12,0,7.6,Active,0,0
18,0,15,1,1,5,12,0,Graduate,1,1,1,1,1,0,0,1,0,0,6,6,6,15,0,0,6,6,6,15,0,8.9,Active,0,0
20,0,12,1,0,6,15,0,Enrolled,1,1,2,1,1,0,0,1,0,0,7,9,5,13,0,0,8,9,7,13,0,11.1,Active,0,0
18,0,12,0,0,9,13,0,Graduate,1,9,1,1,1,0,0,1,0,0,7,8,7,17,0,0,8,8,8,18,0,13.9,Active,0,0
19,0,12,0,0,8,17,0,Graduate,1,1,5,1,1,1,0,1,0,0,7,7,6,13,0,0,7,7,6,13,0,7.6,Active,0,0
19,0,15,1,0,7,13,0,Graduate,1,1,6,1,1,1,0,1,0,0,6,8,6,13,0,0,6,10,5,12,0,12.4,Active,0,0
22,0,9,0,1,10,12,0,Enrolled,1,16,1,1,1,1,0,0,0,0,5,8,0,0,0,0,5,7,0,0,0,8.9,Active,0,0
19,0,10,1,0,7,0,0,Graduate,1,1,3,1,1,1,0,1,0,0,6,7,6,11,0,0,6,6,6,12,0,12.4,Active,0,0
19,0,12,1,0,6,11,0,Graduate,1,1,3,1,1,1,0,1,0,0,7,10,7,14,0,0,8,11,8,12,0,15.5,Active,0,0
19,0,16,1,0,11,13,0,Graduate,1,8,5,1,1,1,0,1,0,0,6,10,5,12,0,0,6,9,5,11,0,9.4,Active,0,0
19,0,11,0,0,9,11,0,Dropout,1,1,4,1,1,1,0,1,0,0,5,10,0,0,0,0,5,10,0,0,0,7.6,Active,0,0
20,0,11,0,0,10,0,0,Dropout,1,8,1,1,1,1,0,1,0,0,6,8,5,11,0,0,6,12,3,12,0,7.6,Active,0,0
18,0,9,0,0,12,11,0,Graduate,1,1,1,1,1,0,0,1,0,0,5,10,5,13,0,0,5,9,5,14,0,13.9,Active,0,0
20,0,12,1,0,9,14,0,Graduate,1,1,1,1,1,0,0,1,0,0,7,8,6,14,0,0,8,9,7,14,0,11.1,Active,0,0
18,0,2,0,0,9,14,0,Enrolled,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,Active,0,0
19,0,6,0,0,0,0,0,Graduate,1,1,1,1,1,0,0,1,0,0,5,6,5,12,0,0,5,6,5,13,0,7.6,Inactive,0,0
18,0,16,0,0,6,13,0,Enrolled,1,8,1,1,1,1,0,1,0,0,6,11,3,12,0,0,6,10,5,11,0,9.4,Active,0,0
18,0,16,0,0,10,12,0,Graduate,1,1,1,1,1,1,0,1,0,0,6,7,6,13,0,0,6,8,5,12,0,7.6,Active,0,0
21,0,16,0,0,8,13,0,Dropout,1,14,1,1,1,1,0,1,0,0,6,10,3,13,0,0,6,12,3,10,0,9.4,Active,0,0
19,0,16,0,0,12,11,0,Dropout,1,1,1,1,1,0,0,1,0,0,6,8,6,12,0,0,6,10,4,12,0,7.6,Active,0,0
18,0,9,1,0,10,12,0,Graduate,1,1,1,1,1,0,0,1,0,0,5,5,5,11,0,0,5,5,5,12,0,12.4,Active,0,0
18,0,10,1,0,5,11,0,Graduate,1,8,2,1,1,1,0,1,0,0,6,8,6,12,0,0,6,7,6,12,0,12.7,Active,0,0
20,0,10,0,0,7,12,0,Graduate,1,1,3,1,1,1,0,1,0,0,6,10,4,11,0,0,6,9,6,12,0,9.4,Active,0,0
24,0,3,1,0,9,11,0,Graduate,1,12,1,0,1,0,0,1,0,0,6,11,5,11,0,0,6,9,5,13,0,11.1,Active,0,0
19,0,14,0,0,9,12,0,Dropout,1,1,1,1,1,0,0,1,0,0,6,6,6,13,0,0,6,9,6,13,0,10.8,Active,0,0
18,0,12,1,0,9,13,0,Graduate,1,1,1,1,1,1,0,1,0,0,7,9,7,13,0,0,8,12,7,13,0,15.5,Active,0,0
18,0,12,0,0,12,13,0,Graduate,1,1,2,1,1,1,0,1,0,0,7,8,7,15,0,0,8,8,8,15,0,15.5,Active,0,0
21,0,16,0,0,8,15,0,Dropout,1,8,5,1,1,1,0,1,0,0,6,13,4,12,0,0,6,10,3,11,0,10.8,Active,0,0
19,0,14,0,0,10,11,0,Graduate,1,8,2,1,1,0,0,1,0,0,5,5,5,14,0,0,5,5,5,14,0,7.6,Active,0,0
19,0,15,1,0,5,14,0,Graduate,1,8,1,1,1,0,0,1,0,0,6,6,6,13,0,0,6,7,6,13,0,15.5,Active,0,0
47,0,4,0,1,7,13,0,Enrolled,3,12,1,1,1,0,0,1,0,0,1,1,0,0,0,0,6,0,0,0,0,8.9,Active,0,0
19,0,10,0,0,0,0,0,Graduate,1,8,3,1,1,0,0,1,0,0,6,10,5,12,0,0,6,12,4,11,0,13.9,Inactive,0,0
29,0,12,0,0,12,11,0,Graduate,1,12,1,1,3,0,0,1,0,1,8,8,7,14,0,1,8,8,7,14,0,12.7,Active,0,0
21,0,10,0,0,8,14,0,Dropout,1,14,1,1,1,1,0,1,0,0,6,13,3,12,0,0,6,12,2,11,0,16.2,Active,0,0
28,0,6,0,0,12,12,0,Enrolled,1,12,1,1,1,1,0,1,0,0,5,13,4,11,1,0,5,11,4,11,0,12.7,Active,0,0
20,0,13,0,0,12,11,0,Graduate,1,8,2,1,1,0,0,1,0,0,7,8,7,12,0,0,8,8,8,14,0,15.5,Active,0,0
19,0,12,0,0,8,13,0,Graduate,1,8,1,1,1,1,0,1,0,0,7,7,6,12,0,0,7,7,6,12,0,7.6,Active,0,0
26,0,3,0,0,7,12,0,Graduate,1,13,1,0,1,0,0,1,0,0,6,10,3,12,0,0,6,8,5,12,0,9.4,Active,0,0
20,0,11,0,1,8,12,0,Dropout,1,8,2,1,1,1,0,0,0,0,6,8,4,12,0,0,6,6,6,13,0,11.1,Active,0,0
18,0,14,1,0,6,12,0,Enrolled,1,1,1,1,1,1,0,1,0,0,5,6,3,12,0,0,5,6,4,14,0,7.6,Active,0,0
27,0,16,0,0,6,13,0,Graduate,1,12,1,1,1,0,0,1,0,0,6,9,5,13,0,0,6,10,5,12,0,7.6,Active,0,0
20,0,12,0,0,10,13,0,Dropout,1,1,2,1,1,1,0,1,0,0,7,8,4,12,0,0,7,8,4,12,0,7.6,Active,0,0
18,0,16,0,0,8,12,0,Dropout,1,1,5,1,1,1,0,1,0,0,6,8,5,12,0,0,6,12,5,10,0,9.4,Active,0,0
